Hierarchy,Tipo de Formacion,Titulo,Detalle,Horas,Año
Formación,Formación Profesional,FDI,Wealth Mannagment ,1374,2021
Formación,Formación Profesional,FDI,Wealth Mannagment ,687,2019
Formación,Formación Profesional,FDI,Wealth Mannagment ,687,2021
Formación,Formación Académica,Pellegrini,Lengua y Literatura,150,2012
Formación,Formación Académica,Pellegrini,Matemática,150,2012
Formación,Formación Académica,Pellegrini,Historia,120,2012
Formación,Formación Académica,Pellegrini,Geografía,90,2012
Formación,Formación Académica,Pellegrini,Cs. Naturales,120,2012
Formación,Formación Académica,Pellegrini,Educación Artística:Música y Plástica,120,2012
Formación,Formación Académica,Pellegrini,Taller de Aprendizaje,60,2012
Formación,Formación Académica,Pellegrini,Lengua Extranjera,90,2012
Formación,Formación Académica,Pellegrini,Educación Física,90,2012
Formación,Formación Académica,Pellegrini,Informática,60,2012
Formación,Formación Académica,Pellegrini,Acción Solidaria,30,2012
Formación,Formación Académica,Pellegrini,Lengua y Literatura,120,2013
Formación,Formación Académica,Pellegrini,Matemática,120,2013
Formación,Formación Académica,Pellegrini,Historia,90,2013
Formación,Formación Académica,Pellegrini,Geografía,90,2013
Formación,Formación Académica,Pellegrini,Biología,120,2013
Formación,Formación Académica,Pellegrini,Química,90,2013
Formación,Formación Académica,Pellegrini,Formación Ética y Ciudadana,60,2013
Formación,Formación Académica,Pellegrini,Lengua Extranjera,90,2013
Formación,Formación Académica,Pellegrini,Educación Artistica: Música o Plastica,60,2013
Formación,Formación Académica,Pellegrini,Tutoría,60,2013
Formación,Formación Académica,Pellegrini,Educación Física,90,2013
Formación,Formación Académica,Pellegrini,Informática,60,2013
Formación,Formación Académica,Pellegrini,Acción Solidaria,30,2013
Formación,Formación Académica,Pellegrini,Lengua y Literatura,120,2014
Formación,Formación Académica,Pellegrini,Matemática,120,2014
Formación,Formación Académica,Pellegrini,Historia,90,2014
Formación,Formación Académica,Pellegrini,Geografía,90,2014
Formación,Formación Académica,Pellegrini,Biología,120,2014
Formación,Formación Académica,Pellegrini,Física,90,2014
Formación,Formación Académica,Pellegrini,Química,90,2014
Formación,Formación Académica,Pellegrini,Lengua Extranjera,90,2014
Formación,Formación Académica,Pellegrini,Educación Artística Música o Plastica,60,2014
Formación,Formación Académica,Pellegrini,Tutoría,30,2014
Formación,Formación Académica,Pellegrini,Educación Física,90,2014
Formación,Formación Académica,Pellegrini,Informática,60,2014
Formación,Formación Académica,Pellegrini,Taller de Proy.,60,2014
Formación,Formación Académica,Pellegrini,Lengua y Literatura,120,2015
Formación,Formación Académica,Pellegrini,Matemática,120,2015
Formación,Formación Académica,Pellegrini,Derecho I,90,2015
Formación,Formación Académica,Pellegrini,Física,90,2015
Formación,Formación Académica,Pellegrini,Gestión de las Organizaciones,60,2015
Formación,Formación Académica,Pellegrini,Sistema. Inf. Contable,120,2015
Formación,Formación Académica,Pellegrini,Filosofía,90,2015
Formación,Formación Académica,Pellegrini,Economía I,90,2015
Formación,Formación Académica,Pellegrini,Problemas Contemporáneos,120,2015
Formación,Formación Académica,Pellegrini,Educación Física,90,2015
Formación,Formación Académica,Pellegrini,Lengua Extranjera,90,2015
Formación,Formación Académica,Pellegrini,Lengua y Literatura,120,2016
Formación,Formación Académica,Pellegrini,Matemática,120,2016
Formación,Formación Académica,Pellegrini,Derecho II,90,2016
Formación,Formación Académica,Pellegrini,Psicología,60,2016
Formación,Formación Académica,Pellegrini,Sistema Inf. Contable,180,2016
Formación,Formación Académica,Pellegrini,Sociología,60,2016
Formación,Formación Académica,Pellegrini,Economía II,90,2016
Formación,Formación Académica,Pellegrini,Sistemas Administrativos,120,2016
Formación,Formación Académica,Pellegrini,Taller de Formación Ética y Ciudadana,60,2016
Formación,Formación Académica,Pellegrini,Educación Física,90,2016
Formación,Formación Académica,Pellegrini,Taller de Formación para el Trabajo,60,2016
Formación,Formación Académica,Pellegrini,Lengua Extranjera,90,2016
