Latitud,Longitud,Date,Location
40.5,-73.6,3/28/2015,New York
-32.9,-70.1,9/19/2015,Portillo
-32.9,-68.9,2/18/2020,Mendoza
-25.5,-66.4,10/12/2019,Colomé
-23.6,-65.4,9/21/2015,Tilcara
-24.8,-65.4,10/9/2019,Salta
-32.9,-60.7,10/12/2016,Rosario
-40.8,-71.7,2/12/2019,La Angostura
-41.1,-71.3,8/12/2016,Bariloche
-40.1,-71.3,7/7/2014,San Martin de los Andes
40.4,-3.7,1/29/2016,Madrid
45.4,12.3,1/9/2013,Venecia
41.4,2.2,1/22/2013,Barcelona
41.9,12.5,1/17/2013,Roma
43.8,11.3,1/12/2013,Firenze
34.1,-118.2,2/9/2017,Los Angeles
34.4,-119.7,1/4/2014,Santa Barbara
34.6,-120.1,1/19/2017,Solvang
35.6,-121.1,1/20/2017,Cambria
36.6,-121.9,1/21/2017,Carmel by the Sea
37.8,-122.4,1/23/2017,San Francisco
38.5,-122.8,1/25/2017,Windsor
39.2,-120.2,1/31/2017,Squaw Valley
36.2,-115.1,2/2/2017,Las Vegas
4.7,-74.1,1/2/2016,Bogotá
6.2,-75.6,1/6/2016,Medellín
4.6,-75.6,1/9/2016,Salento
10.4,-75.5,1/15/2016,Cartagena
11.2,-74.2,1/18/2016,Santa Marta
11.3,-74.1,1/21/2016,Tayrona
-34.9,-54.9,1/7/2022,Punta del Este
-54.8,-68.3,8/15/2019,Ushuaia
-50.3,-72.3,2/19/2019,Calafate
-49.3,-72.9,2/21/2019,Chálten
-42.8,-65.0,9/24/2014,Puerto Madryn
-38.5,-58.7,1/27/2022,Necochea
-37.0,-56.8,12/23/2016,Costa Esmeralda
-35.1,-70.1,7/19/2013,Las Leñas
-33.1,-58.3,1/15/2022,Fray Bentos
-32.2,-58.1,9/12/2013,Colón
42.5,1.5,2/16/2016,Andorra 
45.9,7.6,1/26/2020,Breuil-Cervinia
45.1,7.7,1/28/2020,Turin
44.5,11.3,1/29/2020,Bologna
45.4,10.9,1/31/2020,Verona
45.5,10.6,2/1/2020,Sirmione
45.5,9.2,2/4/2020,Milan
45.6,9.3,2/5/2020,Monza
43.3,-2.9,2/2/2016,Bilbao
43.3,-1.9,2/8/2016,San Sebastian
41.9,1.7,1/27/2016,Cardona
42.3,3.3,2/13/2016,Cadaques
43.4,-1.8,2/9/2016,Hondarribia
42.4,1.5,2/10/2016,La Seu d'Urgell
51.5,-0.1,11/19/2015,Londres
52.4,4.9,4/8/2014,Amsterdam
52.5,13.4,4/5/2014,Berlin
48.9,2.4,4/17/2014,Paris
50.1,8.7,4/21/2014,Frankfurt
32.1,34.8,1/7/2019,Tel-Avivi
31.3,35.4,1/9/2019,Metsada
31.8,35.2,1/11/2019,Jerusalem
32.8,34.9,1/5/2019,Haifa
38.6,34.8,1/31/2019,Goreme
41.0,28.9,1/26/2019,Istanbul
37.9,23.7,1/14/2019,Atenas
38.5,22.5,1/16/2019,Delphi & Arachova
37.6,22.8,1/21/2019,Nafplio
37.9,22.9,1/20/2019,Corinto
37.7,22.0,1/22/2019,Lagkadia
36.7,23.1,1/23/2019,Monemvasia
37.1,22.4,1/24/2019,Mystras
39.7,21.6,1/18/2019,Kalambaka
39.7,-104.9,1/29/2018,Denver
39.2,-106.8,1/30/2018,Aspen
40.5,-73.6,2/5/2018,New York
40.5,-73.6,6/29/2021,New York
39.9,-75.2,6/26/2021,Philadelphia
41.9,-87.6,7/2/2021,Chicago
42.4,-71.1,7/6/2021,Boston
4.7,-74.1,2/8/2018,Bogotá
